Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no,,Refactored/Justification
..,com.Group11.soulfulplates.controllers,AuthController,registerUser,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@6255c131,58,,False Positive
..,com.Group11.soulfulplates.controllers,AuthController,authenticateUser,Long Statement,"The length of the statement ""Authentication authentication=authenticationManager.authenticate(new UsernamePasswordAuthenticationToken(loginRequest.getUsername()`loginRequest.getPassword()));"" is 161.",113,,Refactored
..,com.Group11.soulfulplates.controllers,AuthController,authenticateUser,Long Statement,"The length of the statement ""JwtResponse jwtResponse=new JwtResponse(jwt`userDetails.getId()`userDetails.getUsername()`userDetails.getEmail()`roles`userDetails.getContactNumber()`userDetails.getFirstname()`userDetails.isNotificationFlag()`store.getStoreId()`store.getStoreName()`store.getStoreEmail()`store.getContactNumber());"" is 298.",113,,It is not possible to refactor this as JwtResponse requires the parameters to be passed in this way
..,com.Group11.soulfulplates.controllers,AuthController,authenticateUser,Long Statement,"The length of the statement ""JwtResponse jwtResponse=new JwtResponse(jwt`userDetails.getId()`userDetails.getUsername()`userDetails.getEmail()`roles`userDetails.getContactNumber()`userDetails.getFirstname()`userDetails.isNotificationFlag());"" is 211.",113,,It is not possible to refactor this as JwtResponse requires the parameters to be passed in this way
..,com.Group11.soulfulplates.controllers,AuthController,generateForgetPasswordCode,Long Statement,"The length of the statement ""return ResponseEntity.ok(new MessageResponse(1`""Forget password code generated successfully!""`Collections.singletonMap(""OTP_Code""`OtpResponse.OtpCode())));"" is 155.",151,,Refactored
..,com.Group11.soulfulplates.controllers,AuthController,generateForgetPasswordCode,Long Statement,"The length of the statement ""return ResponseEntity.badRequest().body(new MessageResponse(-1`""Error occurred while generating forget password code.""`null));"" is 126.",151,,Refactored
..,com.Group11.soulfulplates.controllers,OrderController,getOrderDetails,Long Statement,"The length of the statement ""return ResponseEntity.badRequest().body(new OrderDetailsResponse(-1`""Error getting order details: "" + e.getMessage()`null));"" is 124.",65,,Refactored
..,com.Group11.soulfulplates.controllers,OrderController,getOrdersForUser,Long Statement,"The length of the statement ""OrdersResponse response=orderService.getOrdersForUser(request.getUserId()`request.getStatus()`request.getLimit()`request.getOffset());"" is 134.",76,,Refactored
..,com.Group11.soulfulplates.controllers,OrderController,getOrdersForUser,Long Statement,"The length of the statement ""return ResponseEntity.badRequest().body(new OrderDetailsResponse(-1`""Error getting order details: "" + e.getMessage()`null));"" is 124.",76,,Refactored
..,com.Group11.soulfulplates.controllers,OrderController,getOrdersForStore,Long Statement,"The length of the statement ""OrdersResponse response=orderService.getOrdersForStore(request.getStoreId()`request.getStatus()`request.getLimit()`request.getOffset());"" is 136.",87,,Refactored
..,com.Group11.soulfulplates.controllers,OrderController,getOrdersForStore,Long Statement,"The length of the statement ""return ResponseEntity.badRequest().body(new OrderDetailsResponse(-1`""Error getting order details: "" + e.getMessage()`null));"" is 124.",87,,Refactored
..,com.Group11.soulfulplates.controllers,PaymentController,filterPayments,Long Statement,"The length of the statement ""List<PaymentFilterResponse> response=paymentService.filterPayments(request.getUserId()`request.getStatus()`request.getLimit()`request.getOffset());"" is 147.",48,,Refactored
..,com.Group11.soulfulplates.controllers,PaymentController,filterSellerPayments,Long Statement,"The length of the statement ""List<PaymentFilterResponse> response=paymentService.filterPayments(request.getStoreId()`request.getStatus()`request.getLimit()`request.getOffset());"" is 148.",60,,Refactored
..,com.Group11.soulfulplates.controllers,StoreController,getStoreById,Long Statement,"The length of the statement ""return storeService.getStoreById(id).map(seller -> ResponseEntity.ok(new MessageResponse(1`""Store Found""`seller))).orElseGet(() -> ResponseEntity.ok(new MessageResponse(1`""No Store Found""`null)));"" is 196.",52,,Refactored
..,com.Group11.soulfulplates.controllers,StoreController,updateUserImage,Long Statement,"The length of the statement ""Store store=storeRepository.findById(storeId).orElseThrow(() -> new RuntimeException(""Store not found with id: "" + storeId));"" is 125.",108,,Refactored
..,com.Group11.soulfulplates.controllers,TransactionController,updateTransactionStatus,Long Statement,"The length of the statement ""return ResponseEntity.badRequest().body(new MessageResponse(0`""Error updating transaction: Invalid status provided.""`null));"" is 124.",21,,Refactored
..,com.Group11.soulfulplates.controllers,UserController,updateAddressForUser,Long Statement,"The length of the statement ""Address address=addressRepository.findById(addressId).orElseThrow(() -> new RuntimeException(""Address not found with id: "" + addressId));"" is 137.",98,,Refactored
..,com.Group11.soulfulplates.controllers,UserController,deleteAddressForUser,Long Statement,"The length of the statement ""Address address=addressRepository.findById(addressId).orElseThrow(() -> new RuntimeException(""Address not found with id: "" + addressId));"" is 137.",121,,Refactored
..,com.Group11.soulfulplates.controllers,UserController,getUserAndNearestStore,Long Statement,"The length of the statement ""Address userAddress=addressRepository.findById(addressId).orElseThrow(() -> new RuntimeException(""Address not found with id: "" + addressId));"" is 141.",179,,Refactored
..,com.Group11.soulfulplates.controllers,UserController,calculateDistance,Long Statement,"The length of the statement ""double a=Math.sin(latDistance / 2) * Math.sin(latDistance / 2) + Math.cos(Math.toRadians(lat1)) * Math.cos(Math.toRadians(lat2)) * Math.sin(lonDistance / 2)* Math.sin(lonDistance / 2);"" is 184.",231,,Refactored
..,com.Group11.soulfulplates.controllers,UserController,calculateDistance,Magic Number,The method contains a magic number: 6371,231,,False Positive
..,com.Group11.soulfulplates.controllers,UserController,calculateDistance,Magic Number,The method contains a magic number: 2,231,,Refactored
..,com.Group11.soulfulplates.controllers,UserController,calculateDistance,Magic Number,The method contains a magic number: 2,231,,Refactored
..,com.Group11.soulfulplates.controllers,UserController,calculateDistance,Magic Number,The method contains a magic number: 2,231,,Refactored
..,com.Group11.soulfulplates.controllers,UserController,calculateDistance,Magic Number,The method contains a magic number: 2,231,,Refactored
..,com.Group11.soulfulplates.controllers,UserController,calculateDistance,Magic Number,The method contains a magic number: 2,231,,Refactored
..,com.Group11.soulfulplates.controllers,WishlistController,getWishlistById,Long Statement,"The length of the statement ""return wishlist.map(value -> ResponseEntity.ok(new MessageResponse(1`""Wishlist found""`value))).orElseGet(() -> ResponseEntity.ok(new MessageResponse(-1`""Wishlist not found""`null)));"" is 181.",29,,Refactored
..,com.Group11.soulfulplates.controllers,AuthControllerTest,testAuthenticateUser_Success,Magic Number,The method contains a magic number: 200,208,,Refactored
..,com.Group11.soulfulplates.controllers,CategoryControllerTest,testGetAllCategoriesWithSubcategoriesByStoreId,Long Statement,"The length of the statement ""when(categoryService.findAllCategoriesWithSubcategoriesByStoreId(storeId)).thenReturn(Collections.singletonList(category));"" is 123.",58,,"False Positive, as the syntax for calling the test/mocking methods have to be called the way they are designed to be used"
..,com.Group11.soulfulplates.controllers,MenuItemControllerTest,setUp,Magic Number,The method contains a magic number: 10.99,27,,False Positive
..,com.Group11.soulfulplates.controllers,OrderControllerTest,testGetOrdersForUser,Magic Number,The method contains a magic number: 10,93,,False Positive
..,com.Group11.soulfulplates.controllers,OrderControllerTest,testGetOrdersForStore,Magic Number,The method contains a magic number: 10,114,,False Positive
..,com.Group11.soulfulplates.controllers,PaymentControllerTest,updatePaymentStatus_Success,Long Statement,"The length of the statement ""verify(paymentService`times(1)).updatePaymentStatus(request.getPaymentId()`request.getTransactionId()`request.getStatus());"" is 123.",67,,"False Positive, as the syntax for calling the test/mocking methods have to be called the way they are designed to be used"
..,com.Group11.soulfulplates.controllers,PaymentControllerTest,updatePaymentStatus_Failure,Long Statement,"The length of the statement ""doThrow(new RuntimeException(""Error updating payment status"")).when(paymentService).updatePaymentStatus(anyLong()`anyLong()`anyString());"" is 137.",80,,"False Positive, as the syntax for calling the test/mocking methods have to be called the way they are designed to be used"
..,com.Group11.soulfulplates.controllers,PaymentControllerTest,updatePaymentStatus_Failure,Long Statement,"The length of the statement ""verify(paymentService`times(1)).updatePaymentStatus(request.getPaymentId()`request.getTransactionId()`request.getStatus());"" is 123.",80,,"False Positive, as the syntax for calling the test/mocking methods have to be called the way they are designed to be used"
..,com.Group11.soulfulplates.controllers,RatingControllerTest,addRating_Success,Magic Number,The method contains a magic number: 4.5,31,,False Positive
..,com.Group11.soulfulplates.controllers,RatingControllerTest,getAverageRating_Success,Magic Number,The method contains a magic number: 4.5,49,,False Positive
..,com.Group11.soulfulplates.controllers,TransactionControllerTest,testUpdateTransactionStatus_Failure,Long Statement,"The length of the statement ""doThrow(new RuntimeException(""Transaction not found"")).when(transactionService).updateTransactionStatus(anyLong()`anyString());"" is 127.",47,,"False Positive, as the syntax for calling the test/mocking methods have to be called the way they are designed to be used"
..,com.Group11.soulfulplates.controllers,TransactionControllerTest,testUpdateTransactionStatus_Failure,Long Statement,"The length of the statement ""assertEquals(""Error updating transaction: Transaction not found""`((MessageResponse)responseEntity.getBody()).getDescription());"" is 127.",47,,"False Positive, as the syntax for calling the test assertion /mocking methods have to be called the way they are designed to be used"
..,com.Group11.soulfulplates.controllers,TransactionControllerTest,testUpdateTransactionStatus_Failure_TransactionNotFound,Long Statement,"The length of the statement ""doThrow(new RuntimeException(""Transaction not found"")).when(transactionService).updateTransactionStatus(anyLong()`anyString());"" is 127.",76,,"False Positive, as the syntax for calling the test/mocking methods have to be called the way they are designed to be used"
..,com.Group11.soulfulplates.controllers,TransactionControllerTest,testUpdateTransactionStatus_Failure_TransactionNotFound,Long Statement,"The length of the statement ""assertEquals(""Error updating transaction: Transaction not found""`((MessageResponse)responseEntity.getBody()).getDescription());"" is 127.",76,,"False Positive, as the syntax for calling the test/mocking methods have to be called the way they are designed to be used"
