Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
..,com.Group11.soulfulplates.controllers,AuthController,registerUser,0,6,1,57,0,com.Group11.soulfulplates.repository.UserRepository,com.Group11.soulfulplates.repository.UserRepository; com.Group11.soulfulplates.repository.RoleRepository; com.Group11.soulfulplates.models.Store
..,com.Group11.soulfulplates.controllers,AuthController,authenticateUser,17,2,1,112,0,com.Group11.soulfulplates.security.jwt.JwtUtils,com.Group11.soulfulplates.security.jwt.JwtUtils; com.Group11.soulfulplates.security.services.UserDetailsImpl; com.Group11.soulfulplates.models.Store; com.Group11.soulfulplates.repository.StoreRepository
..,com.Group11.soulfulplates.controllers,AuthController,generateForgetPasswordCode,13,2,1,145,0,com.Group11.soulfulplates.repository.UserRepository,com.Group11.soulfulplates.repository.UserRepository; com.Group11.soulfulplates.payload.response.OtpResponse
..,com.Group11.soulfulplates.controllers,AuthController,resetPassword,22,3,1,162,0,com.Group11.soulfulplates.repository.UserRepository,com.Group11.soulfulplates.repository.UserRepository
..,com.Group11.soulfulplates.controllers,CategoryController,createCategory,5,1,1,27,0,com.Group11.soulfulplates.payload.request.CategoryRequest,com.Group11.soulfulplates.payload.request.CategoryRequest; com.Group11.soulfulplates.services.impl.CategoryService
..,com.Group11.soulfulplates.controllers,CategoryController,editCategory,6,1,2,35,0,com.Group11.soulfulplates.services.impl.CategoryService,com.Group11.soulfulplates.services.impl.CategoryService; com.Group11.soulfulplates.payload.request.CategoryRequest; com.Group11.soulfulplates.models.Category
..,com.Group11.soulfulplates.controllers,CategoryController,deleteCategory,4,1,1,45,0,com.Group11.soulfulplates.services.impl.CategoryService,com.Group11.soulfulplates.services.impl.CategoryService
..,com.Group11.soulfulplates.controllers,CategoryController,createSubcategory,6,1,1,52,0,com.Group11.soulfulplates.payload.request.SubcategoryRequest,com.Group11.soulfulplates.payload.request.SubcategoryRequest; com.Group11.soulfulplates.services.impl.SubcategoryService; com.Group11.soulfulplates.services.impl.CategoryService
..,com.Group11.soulfulplates.controllers,CategoryController,editSubcategory,6,1,2,61,0,com.Group11.soulfulplates.services.impl.SubcategoryService,com.Group11.soulfulplates.services.impl.SubcategoryService; com.Group11.soulfulplates.payload.request.SubcategoryRequest; com.Group11.soulfulplates.models.SubCategory
..,com.Group11.soulfulplates.controllers,CategoryController,deleteSubcategory,4,1,1,71,0,com.Group11.soulfulplates.services.impl.SubcategoryService,com.Group11.soulfulplates.services.impl.SubcategoryService
..,com.Group11.soulfulplates.controllers,CategoryController,getAllCategoriesWithSubcategoriesByStoreId,4,1,1,78,0,com.Group11.soulfulplates.services.impl.CategoryService,com.Group11.soulfulplates.services.impl.CategoryService
