Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
..,com.Group11.soulfulplates.controllers,AuthControllerTest,testGenerateForgetPasswordCode_EmailDoesNotExist,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
..,com.Group11.soulfulplates.controllers,AuthControllerTest,testGenerateForgetPasswordCode_EmailDoesNotExist,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.repository.UserRepository.existsByEmail; com.Group11.soulfulplates.controllers.AuthController.generateForgetPasswordCode
..,com.Group11.soulfulplates.controllers,AuthControllerTest,testAuthenticateUser_Success,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
..,com.Group11.soulfulplates.controllers,AuthControllerTest,testAuthenticateUser_Success,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.security.jwt.JwtUtils.generateJwtToken; com.Group11.soulfulplates.controllers.AuthController.authenticateUser; com.Group11.soulfulplates.security.services.UserDetailsImpl.build
..,com.Group11.soulfulplates.controllers,AuthControllerTest,testAuthenticateUser_Failure,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
..,com.Group11.soulfulplates.controllers,CategoryControllerTest,testCreateCategory,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
..,com.Group11.soulfulplates.controllers,CategoryControllerTest,testCreateCategory,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.controllers.CategoryController.createCategory; com.Group11.soulfulplates.payload.request.CategoryRequest.setCategoryName; com.Group11.soulfulplates.payload.request.CategoryRequest.setStoreId
..,com.Group11.soulfulplates.controllers,CategoryControllerTest,testGetAllCategoriesWithSubcategoriesByStoreId,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
..,com.Group11.soulfulplates.controllers,CategoryControllerTest,testGetAllCategoriesWithSubcategoriesByStoreId,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.models.Category.setSubcategories; com.Group11.soulfulplates.controllers.CategoryController.getAllCategoriesWithSubcategoriesByStoreId
..,com.Group11.soulfulplates.controllers,CategoryControllerTest,testEditCategory,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
..,com.Group11.soulfulplates.controllers,CategoryControllerTest,testEditCategory,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.controllers.CategoryController.editCategory; com.Group11.soulfulplates.payload.request.CategoryRequest.setCategoryName
..,com.Group11.soulfulplates.controllers,CategoryControllerTest,testDeleteCategory,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
..,com.Group11.soulfulplates.controllers,CategoryControllerTest,testCreateSubcategory,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
..,com.Group11.soulfulplates.controllers,CategoryControllerTest,testCreateSubcategory,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.payload.request.SubcategoryRequest.setCategoryId; com.Group11.soulfulplates.payload.request.SubcategoryRequest.setSubcategoryName; com.Group11.soulfulplates.payload.request.SubcategoryRequest.setStoreId; com.Group11.soulfulplates.controllers.CategoryController.createSubcategory
..,com.Group11.soulfulplates.controllers,MenuItemControllerTest,testCreateMenuItem_ValidMenuItem_Success,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
..,com.Group11.soulfulplates.controllers,MenuItemControllerTest,testEditMenuItem_MenuItemExists_Success,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
..,com.Group11.soulfulplates.controllers,MenuItemControllerTest,testEditMenuItem_MenuItemExists_Success,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.controllers.MenuItemController.editMenuItem; com.Group11.soulfulplates.services.MenuItemService.findMenuById
..,com.Group11.soulfulplates.controllers,MenuItemControllerTest,testEditMenuItem_MenuItemNotExists_Failure,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
..,com.Group11.soulfulplates.controllers,MenuItemControllerTest,testEditMenuItem_MenuItemNotExists_Failure,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.controllers.MenuItemController.editMenuItem; com.Group11.soulfulplates.services.MenuItemService.findMenuById
..,com.Group11.soulfulplates.controllers,MenuItemControllerTest,testEditMenuItem_MenuItemFoundAndUpdated_Success,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
..,com.Group11.soulfulplates.controllers,MenuItemControllerTest,testEditMenuItem_MenuItemFoundAndUpdated_Success,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.controllers.MenuItemController.editMenuItem; com.Group11.soulfulplates.services.MenuItemService.findMenuById
..,com.Group11.soulfulplates.controllers,MenuItemControllerTest,testEditMenuItem_MenuItemNotFound_Failure,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
